npi,first_name,last_name,address_line_1,city,state,zip_code,phone,specialty
3444587960,Jennifer,Martin,4484 Cedar Ct,Los Angeles,US,25354,449-632-7536,Oncology
3175087427,Sarah,Wilson,6940 Main Street,San Antonio,US,74966,848-211-7653,Internal Medicine
1337208964,Thomas,Martin,9832 Main St,Houston,US,38635,207-721-5001,Psychiatry
4925771399,William,Moore,3426 Cedar Ct,Los Angeles,US,14926,806-865-2609,Anesthesiology
8450556789,Linday,Martin,5107 Lakeview Dr,San Diego,US,69179,805-269-8241,Oncology
5147880651,Sarah,Williams,8099 Broadway,Houston,US,20730,486-806-4766,Dermatology
9115443952,Michaely,Martin,6488 Hillside Ave,San Antonio,US,88587,673-225-1460,Neurology
7352528408,James,Smith,2650 Hillside Ave,Los Angeles,US,23731,434-646-9648,Dermatology
4723118996,Sarah,Brown,4633 Washington Blvd,Phoenix,US,14547,264-453-5467,Psychiatry
5661479633,Robert,Rodriguez,3588 Park Ave,San Diego,US,48138,537-888-9441,Anesthesiology
6335077498,Richard,Williams,9252 Park Avenue,Houston,US,41703,591-316-7857,Pediatrics
6428463671,Charles,Taylox,9065 Main St,Houston,US,90156,388-455-1677,Psychiatry
6831822488,Charles,Smith,6651 Oak Ln,Dallas,US,77663,904-227-1827,Family Practice
2644259898,Joseph,Anderson,9376 Lakeview Drive,Philadelphia,US,54648,787-798-8162,Cardiology
3110126762,Charles,Moorx,2350 Cedar Ct,San Jose,US,75542,662-444-7450,Radiology
2895160673,Thomas,Williams,5669 Maple Dr,Phoenix,US,71664,407-882-5341,Cardiology
,William,Wilson,8955 Elm St,Los Angeles,US,75200,897-901-1560,Internal Medicine
2531874319,Sarah,Smitx,3091 Park Ave,Los Angeles,US,68011,813-633-6605,Pediatrics
4178714530,Jennifer,Johnson,8425 Lakeview Dr,Houston,US,97094,496-405-6185,Cardiology
7700810084,Jessica,Hernandez,7504 Hillside Ave,Dallas,US,39472,333-675-7118,Internal Medicine
5856367109,Sarah,Johnson,341 Broadway,Phoenix,US,38676,738-587-8576,Radiology
7406501759,James,Jackson,9304 Oak Ln,New York,US,84476,773-903-2941,Pediatrics
7476647290,Richard,Gonzalez,503 Lakeview Dr,Philadelphia,US,72794,450-262-6909,Cardiology
3047843346,Joseph,Rodriguez,3100 Elm Street,New York,US,24794,377-605-8138,Family Practice
,Joseph,Anderson,3892 Broadway,Houston,US,68826,685-753-2713,Pediatrics
8958857340,Joseph,Rodriguez,7567 Main Street,Philadelphia,US,36792,652-857-3437,Neurology
3504432719,Charles,Hernandez,2816 Washington Blvd,MovedCity,US,00000,590-244-6867,Dermatology
6228016629,Linda,Smith,493 Oak Ln,San Antonio,US,22662,419-628-9061,Neurology
9950423972,Thomas,Smith,4234 Hillside Ave,Los Angeles,US,78925,343-221-9300,Internal Medicine
4451074320,John,Anderson,8729 Lakeview Drive,San Antonio,US,20113,263-988-2260,Family Practice
4593554907,Karen,Davis,8524 Broadway,Dallas,US,64641,612-939-4520,Pediatrics
8524223738,Sarah,Jacksox,924 Lakeview Dr,New York,US,14882,968-631-4949,Oncology
7771624001,Elizabeth,Martinez,8900 Main St,MovedCity,US,00000,523-730-9107,Cardiology
,John,Johnson,3325 Washington Blvd,San Jose,US,88366,622-943-1944,Neurology
3010203425,William,Jackson,4180 Main St,Los Angeles,US,77075,908-361-9964,Pediatrics
1460430453,Elizabethy,Thomas,139 Park Ave,Dallas,US,65192,341-969-3953,Anesthesiology
8015416467,John,Hernandez,5708 Broadway,Chicago,US,24229,277-721-3743,Internal Medicine
9098689859,Jennifer,Gonzalex,3416 Park Ave,San Diego,US,16641,767-791-5249,Pediatrics
8680536270,Jessica,Smitx,670 Elm St,Chicago,US,19377,904-954-9821,Psychiatry
7597186558,David,Moore,9273 Lakeview Dr,Dallas,US,59409,425-206-9717,Oncology
4417273811,Susan,Johnson,5593 Oak Ln,Philadelphia,US,36428,229-341-7633,Dermatology
,Barbara,Gonzalez,6574 Maple Dr,Los Angeles,US,18002,923-239-7637,Dermatology
6405387319,John,Jackson,4358 Broadway,Dallas,US,15396,767-762-7441,Psychiatry
3946722683,Barbara,Miller,6200 Park Ave,Houston,US,38995,908-257-2248,Cardiology
